Parent	Gropoff	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Stud9	Stud10	Stud11	Stud12	Stud13	Stud14	Stud15	Stud16	Stud17	Stud18	Stud19	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Cour0
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******
S	S	S	S																							S5										S
				D2,7																								R								
				d3,7																									r							
				D3,7																									R							
				d4,7																										r						
				D4,7																										R						
				d5,7																											r					
				D5,7																											R					
				d6,7																												r				
				D6,7																												R				
				d7,7																													r			
				D7,7																													R			
				d8,7																														r		
				D8,7																														R		
				d9,7																															r	
D15,2				D9,7																															R	
D0,3																																				
D15,3																																				
D1,3					G4																															
				P4	P																															
				d0,4																						r										
				D0,4																						R										
				d1,4																							r									
				D1,4																							R									
